target_word	sim_word	is_sim
船袜	短袜	1
双装	短袜	0
中筒袜	短袜	0
茶点心	膨化	0
九福	膨化	0
九日	膨化	0
膨化食品	膨化	0
小吃	膨化	0
素玛哥	膨化	0
南洋	膨化	0
薯片	膨化	0
果干	膨化	0
戏水玩具	花洒	0
特卖	限时	0
流连	飘缈	0
牛轧糖	香酥	0
沙琪玛	香酥	0
话梅	香酥	0
香辣	香酥	0
巴旦木	香酥	0
猪肉	香酥	0
薄饼	香酥	0
糕点	香酥	0
辣味	香酥	0
多味	香酥	0
薯片	香酥	0
老爹	ADK	0
ADK2018	ADK	0
鞋女	ADK	0
CONGC2018	ADK	0
CONGC	ADK	0
松糕鞋	ADK	0
LS2018	ADK	0
宿百搭	ADK	0
LS	ADK	0
W606	CW1836	0
W7201	CW1836	0
雨润	GM	0
Meitu	M8s	0
大字	M8s	0
双卡双	M8s	0
联通	M8s	0
无损	Res	0
LAMY	lamy凌美	0
凌美	lamy凌美	0
宝珠笔	lamy凌美	0
素乐	solove	0
黯沉	不均	0
暗沉	不均	0
Eli	伊丽莎白雅顿	0
雅顿	伊丽莎白雅顿	0
海蓝之谜	伊丽莎白雅顿	0
沙袋	体育用品	0
腹器	体育用品	0
尼斯	克尔	0
白绿	单网	0
面鞋	单网	0
VAAKAV	哇咔	0
本命年	喜庆	0
音箱	多媒体	0
扬声器	多媒体	0
收音机	多媒体	0
漫步者	多媒体	0
台式机	多媒体	0
低音炮	多媒体	0
收音	多媒体	0
FM	多媒体	0
Nivea	妮维雅	0
辛香	安息香	0
密码箱	机箱	0
密码锁	机箱	0
莱特堡	机箱	0
瑞曼	机箱	0
硬箱	机箱	0
铝框	机箱	0
框箱	机箱	0
风铝	机箱	0
哈伦	束脚	0
运动裤	束脚	0
铺陈	杯面	0
整身	杯面	0
针织帽	毛线帽	1
贝雷帽	毛线帽	0
呢帽	毛线帽	0
护耳	毛线帽	0
帽女	毛线帽	0
蔻依	爱语	0
香水套装	爱语	0
男小	男儿	0
女款	男款	1
笔芯	笔头	0
TRIBECA	翠贝卡	0
浮萍	荷花池	0
麦克风	话筒	0
唱歌	话筒	0
御肤	铂粹	0
香浓	香醇	1
滋味	香醇	0
STAURT	JILL	0
STUART	JILL	0
吉尔	JILL	0
吉尔斯图亚特	JILL	0
斯图亚特	JILL	0
Mis	sr	0
iRa	sr	0
lz	za	0
ng	za	0
底围	下围	1
恶露	产褥期	0
入院	产褥期	0
褥垫	产褥期	0
包孕	产褥期	0
小猪	佩奇	0
御廷	兰花	0
火山岩	净油	0
醒肤	净油	0
抗痘	净油	0
身体护理套装	凡士林	0
五面	切角	0
黑炫	切角	0
盔甲	切角	0
富贵花	切角	0
唐草	切角	0
火机	切角	0
bee	卡乐比	0
富果乐	卡乐比	0
喂药	吸鼻器	0
美金	女龟	0
仙人	女龟	0
条钉	字面	0
珍贝	字面	0
油压	字面	0
phone	手机壳	0
簸箕	扫帚	0
扫把	扫帚	0
名流	杰士邦	0
倍力乐	杰士邦	0
超滑	杰士邦	0
冈本	杰士邦	0
极肤	杰士邦	0
SKYN	杰士邦	0
润滑油	杰士邦	0
杜蕾斯	杰士邦	0
从仁堂	枸杞子	0
大粒	枸杞子	0
若叶	枸杞子	0
宁夏	枸杞子	0
枸杞茶	枸杞子	0
净肤	洁肤	1
洁面	洁肤	1
微波	洗碗机	0
铸铁	炖锅	0
珐琅	炖锅	0
汤锅	炖锅	1
砂锅	炖锅	0
煲汤	炖锅	0
电热水壶	烧水	0
ZOJIRUSHI	热水瓶	0
电热水壶	热水瓶	0
满钻爆	爆闪	0
耳扣	爆闪	0
香巴拉	爆闪	0
晶芭莎	爆闪	0
呖德	牛轧糖	0
瑞丹多	牛轧糖	0
牛轧	牛轧糖	0
肌肤	皮肤	1
微檐	美职棒	0
MLB	美职棒	0
洋基队	美职棒	0
NY	美职棒	0
全国	联保	0
电泵	脖圈	0
石英	腕表	0
女表	腕表	0
麻薯	薄壳	0
松子	薄壳	0
ZERO	超润	0
刺套	超润	0
超滑	超润	0
致享	超润	0
SKYN	超润	0
S990	足银	0
银波	银女	0
般若	魔猴	0
心经	魔猴	0
CML2018	CML	1
衣度百科	HYLS	0
XXIAN	HYLS	0
紫衫衣阁	HYLS	1
ZSYG	HYLS	0
福特	TOM	0
幻魅	TOM	0
FORD	TOM	0
汤姆	TOM	0
XL64	XXL20	0
XXL34	XXL20	0
L32	XXL20	0
L56	XXL20	0
XL28	XXL20	0
XL50	XXL20	0
SKYN	ZERO	0
米奥	ZERO	0
MO	ZERO	0
倍力乐	ZERO	0
超滑	ZERO	0
刺套	ZERO	0
超润	ZERO	0
致享	ZERO	0
曼丹	dom	0
拉长	修长	1
米奥	刺套	0
MO	刺套	0
倍力乐	刺套	0
超滑	刺套	0
ZERO	刺套	0
激爽	刺套	0
中筒袜	堆堆	0
集效	御藏	0
重获	恢复健康	0
回复	恢复健康	0
OMI	欧米	0
彻底	残留	0
污垢	残留	0
ben	润本	0
球池	澳乐	0
围栏	澳乐	0
路路通	红绳	0
转运	红绳	0
开运	红绳	0
被单	被褥	0
春秋被	被褥	1
琳琅	被褥	0
夏凉被	被褥	0
钙片	褪黑素	0
三文鱼	钙铁锌	0
英吉利	钙铁锌	0
DHA	钙铁锌	0
有益于	钙铁锌	0
伊夺	魅色	0
CA	CA1	0
DYXG	DYXG2018	0
La	st	0
ee	st	0
Oni	uka	0
幸会	久仰	0
橙爱	乐器	0
早教	乐器	0
休闲裤	休闲长裤	1
享受	体验	0
奇缘	冰雪	0
味祖	出前	0
河粉	出前	0
一丁	出前	0
午睡	午休	0
宾格	卡罗莱	0
黄金壳	卡罗莱	0
神偷	奶爸	0
插板	插排	0
插座	插排	0
卷发夹	梳直	0
大波浪	梳直	0
拉直	梳直	0
发直	梳直	0
直发	梳直	1
富含	添加	0
含有	添加	0
迪丽	热巴	0
开奶	矫正器	0
催乳	矫正器	0
hl	科颜氏	0
Kie	科颜氏	0
毛巾被	空调毯	0
午睡	空调毯	0
花被	蚕丝被	0
平整	走线	0
摄水	造水	0
毛器	除尘	0
粘毛	除尘	0
YAMAN	雅萌	0
娜蜜丝	雅萌	0
肌晶	雪滢焕	0
滋盈生	雪滢焕	0
清源	雪滢焕	0
润致	雪滢焕	0
香酥	香辣	0
麻辣	香辣	1
猪肉	香辣	0
薄饼	香辣	0
鱿鱼	香辣	0
良品铺子	香辣	0
切角	黑炫	0
丹尼	黑炫	0
威尼斯人	黑炫	0
ZL	黑炫	0
哈雷	黑炫	0
寡肽	EVM	0
m37	su	0
Boat	兰嘉丝汀	0
摩纳哥	兰嘉丝汀	0
冰棍	冰糕	0
生日蛋糕	冰糕	0
冰格	冰糕	0
套头卫衣	卫衣套装	0
清除	去除	1
每瓶	口服液	0
响纸	响铃	0
有响	封底	0
霍霍	巴籽油	0
保养	护肤	0
直饮	杯盖	0
AUPRES	欧珀莱	0
椰香	氨基	0
蛋白	水解	0
阿弗之吻	流氓皮	0
若西之恋	流氓皮	0
柠檬海	流氓皮	0
油蜡	纳帕	0
植萃	草本	0
芦荟	草本	0
青豆	蚕豆	0
甘源	蚕豆	0
瓜子仁	蚕豆	0
炒米	蚕豆	0
蟹黄	蚕豆	0
火鸡	辣味	0
炒面	辣味	0
过瘾	辣味	0
地道	辣味	0
卡布奇诺	阿萨姆	0
港式	阿萨姆	0
py	Bath	0
丽丽贝尔	Bell	0
刀具	OOU	0
ove	ze	0
美洲野牛	七匹狼	0
斐格	七匹狼	0
水漾焕	亮素	0
采修	亮素	0
婴肌幻	亮素	0
食碗	勺辅	0
包彩	包百搭	0
百搭子	包百搭	0
休闲长裤	哈伦裤	0
灯笼裤	哈伦裤	0
小脚	哈伦裤	0
七分裤	哈伦裤	0
九分裤	哈伦裤	0
哈伦	哈伦裤	1
休闲裤	哈伦裤	1
小脚裤	哈伦裤	0
粗高	女高	0
除螨仪	床铺	0
吉普盾	战地	0
吉圃	战地	0
FL	战地	0
乐维滋	拉芙	0
异国	晚香玉	0
栀子	晚香玉	0
沙巴	晚香玉	0
橄榄油	橄榄	1
尖头	浅口	0
平底	浅口	0
干枯	烫染	0
翘器	睫毛夹	0
假睫毛	睫毛夹	0
汤碗	碗辅	0
食碗	碗辅	0
笔身	笔夹	0
什锦	紫薯	0
菠菜	紫薯	0
葡萄干	紫薯	0
猕猴桃	紫薯	0
奢养	肌活	0
水凝悦	肌活	0
蜂姿	肌活	0
气短	腿短	0
仰卧起坐	臂力	0
胸肌	臂力	0
蝶恋霏	艾微妮	0
UOGOO	艾微妮	0
TATYANA	艾微妮	0
安欣娅	艾微妮	0
ET	艾微妮	0
红粉佳人	花果茶	0
果茶	花果茶	1
ADIDAS	阿迪	0
泥浆	黑炭	0
晦暗	黯淡	0
黯哑	黯淡	0
暗淡	黯淡	0
nce	NB	0
DART	SOCK	0
HTC	VIVO	0
魅族	VIVO	0
茶籽	ZPT	0
过家家	beiens	0
Ad	dic	0
花丽曼	faroma	0
eet	sw	0
菩提子	三圈	0
藏式	三圈	0
净体	三圈	0
袖口	下摆	0
领口	下摆	1
海上	九州	0
无袖	吊带	0
凝香平	后津	0
红华	后津	0
率享	后津	0
护趾	大孔	0
冰雪	奇缘	0
酯类	尼泊	0
般若	展翅	0
魔猴	展翅	0
五面	展翅	0
黑炫	展翅	0
芝宝	展翅	0
雄鹰	展翅	0
心经	展翅	0
富贵花	展翅	0
唐草	展翅	0
锻砂	展翅	0
哈雷	展翅	0
ZIPPO	展翅	0
美肌	弹润	0
充盈	弹润	0
水嫩	弹润	0
科特豪斯	整理盒	0
储物箱	整理盒	0
脱屑	无光泽	0
低胸	无带	0
匀净	无暇	0
光感	无暇	0
无瑕	无暇	1
MANGANO	曼加	0
养分	水份	0
水分	水份	1
咕噜	海泉	0
彼得	潘领	0
热奶	热食	0
净体	矿石	0
长发公主	细面条	0
金致润	辣木籽	0
项圈	颈带	0
oker	颈带	0
风原	风拼色	0
电子商务	食客	0
有限公司	食客	0
湖北	食客	0
素玛哥	马来西亚	0
九日	马来西亚	0
话筒	麦克风	0
太阳伞	黑胶	0
晴雨伞	黑胶	0
晴雨	黑胶	0
WBU	ADICTT	0
GYB	ADICTT	0
GYBU	ADICTT	0
BBU	ADICTT	0
ADITSG2SMU	ADICTT	0
ADITSG1	ADICTT	0
ADITSG2	ADICTT	0
BKR	ADICTT	0
分杯	SNJ	0
kl	Sp	0
Bix	Weet	0
LZT	ZCX	0
pus	cam	0
cli	mac	0
两双	三双	0
爱得利	亲亲我	0
小蜜坊	唇棒	0
亲蜜润	唇棒	0
带鱼	嘴鞋	0
皮带扣	妃萌丝	0
卡罗莱	宾格	0
宾卡达	宾格	0
银壳	宾格	0
黄金壳	宾格	0
宝梭	宾格	0
坤格	宾格	0
BUREI	宾格	0
薏米	山药	0
黑豆	山药	0
性用品	情趣用品	1
迈入	新一季	0
sebamed	施巴	0
合生元	派星	0
飘缈	流连	0
爆闪	满钻爆	0
保温壶	烧杯	0
TAFUCO	烧杯	0
保温桶	烧杯	0
SW	烧杯	0
焖烧罐	烧杯	0
闷烧	烧杯	0
靓单	热衷	0
韩流	热衷	0
滋味	爽口	0
眉型	眉色	1
近视眼镜	近视	0
眼镜架	近视	0
可配	近视	0
眼镜框	近视	0
立体声	重低音	0
调音	重低音	0
铁三角	重低音	0
JBL	重低音	0
漫步者	重低音	0
HiFi	重低音	0
魔音	重低音	0
扬声器	重低音	0
ATH	重低音	0
耳塞式	重低音	0
低音	重低音	1
爱科技	重低音	0
头戴式	重低音	0
线控	重低音	0
插卡	重低音	0
低音炮	重低音	1
入耳式	重低音	0
手机耳机	重低音	0
耳麦	重低音	0
免提通话	重低音	0
活化	重建	0
巩固	重建	0
打通	重建	0
防御力	重建	0
百纳	钢架	0
素玛哥	Aji	0
味祖	Aji	0
九日	Aji	0
九福	Aji	0
可康	Aji	0
WBU	GYB	0
BUW	GYB	0
GYBU	GYB	0
BBU	GYB	0
BW	GYB	0
BKR	GYB	0
ADICTT	GYB	0
搪瓷	Joe	0
KJJ	MZE	0
Weenie	Teenie	0
L44	XXL26	0
XL38	XXL26	0
L22	XXL26	0
拉拉裤	XXL26	0
百褶	a字裙	0
短袖连衣裙	a字裙	0
印花连衣裙	a字裙	0
蓬蓬裙	a字裙	0
百褶裙	a字裙	0
中裙	a字裙	0
长裙	a字裙	0
木薯	shu	0
Dai	sy	0
手霜	乳木果	0
乳木	乳木果	1
OCCITANE	乳木果	0
皇后	乳木果	0
防蓝	光辐射	0
电脑护目镜	光辐射	0
lecoqsportif	公鸡	0
乐卡克	公鸡	0
文胸	内衣	0
梦娜	品彩	0
电源适配器	多口	0
PD	多口	0
线器	多口	0
QC3	多口	0
雪纺衫	小衫	1
雪纺衬衫	小衫	0
肌透精	微精	0
焕采精	微精	0
颜精	微精	0
大杯	杯上	0
天文台	梵蒂冈	0
ECCO	爱步	0
马丁	男靴	0
工装靴	男靴	0
a字裙	百褶	0
蓬蓬	百褶	0
不规则	百褶	0
阳澄湖	礼券	0
大闸蟹	礼券	0
星农	礼券	0
薏仁粉	芡实	0
青汁	芡实	0
季御村	芡实	0
薏米	芡实	0
魔芋	芡实	0
桑葚	芡实	0
机港	范港	0
威露士	蓝月亮	0
消毒液	蓝月亮	0
表身	表壳	0
豆制品	豆腐干	0
果丹皮	豆腐干	0
松饼	豆腐干	0
靖江	豆腐干	0
鱼丸	豆腐干	0
鱼皮	豆腐干	0
板筋	豆腐干	0
吐鲁番	豆腐干	0
卤蛋	豆腐干	0
面筋	豆腐干	0
半梅	豆腐干	0
足片	豆腐干	0
甘栗	豆腐干	0
防辐射服	金属纤维	0
金属丝	金属纤维	0
天使梳	Angel	0
D12013	BD16	0
博朗	Bra	0
转向	TS	0
姬芮	Za	0
zippo	Zip	1
古银	Zip	0
哈雷	Zip	0
打火机	Zip	0
黑裂漆	Zip	0
新展	亦潮	0
黑板	写字板	1
入院	包孕	0
产褥期	包孕	0
褥垫	包孕	0
待产	包孕	0
发夹	发箍	1
头箍	发箍	1
头绳	发箍	0
头饰	发箍	0
发带	发箍	1
发圈	发箍	1
发饰	发箍	1
拱辰	后拱辰	1
排汗	吸湿	0
吸汗	吸湿	1
M8s	大字	0
双卡双	大字	0
贴附	妥帖	0
冰棍	封口机	0
冰糕	封口机	0
不适	干燥	0
粗糙	干燥	0
缺水	干燥	0
BOSS	幻境	0
枸杞茶	广西	0
花草茶	广西	0
安岳	广西	0
中宁	广西	0
杭白菊	广西	0
免手	拖布	0
增强	提高	0
汤姆	福特	0
Tom	福特	0
化妆水	美容液	0
洋华堂	赤本铺	0
脚饰	足链	0
连裤	透肉	0
防勾丝	透肉	0
后轮	遮阳篷	0
空轮	遮阳篷	0
时鲜	颜肌	0
旅游鞋	高帮鞋	0
马丁靴	高帮鞋	0
低帮鞋	高帮鞋	0
高通	AI	0
Tip	Bee	0
cam	Bee	0
整体式	EPE	0
鲨烷	HABA	0
L44	XXL28	0
XL38	XXL28	0
S9	axy	0
aji	dou	0
阿吉豆	dou	0
贝儿	elle	0
贝琳	elle	0
gB	elle	0
Bl	elle	0
紫光	vivox20	0
软边	vivox20	0
p20	vivox20	0
番茄	三文鱼	0
钙铁锌	三文鱼	0
英氏	三文鱼	0
有益于	三文鱼	0
鳕鱼	三文鱼	0
牛肉	三文鱼	0
猪肝	三文鱼	0
鱼肉	三文鱼	0
鸡肉	三文鱼	0
伊威	三文鱼	0
英吉利	三文鱼	0
贝比玛玛	三文鱼	0
西兰花	三文鱼	0
菠菜	三文鱼	0
DHA	三文鱼	0
信手	不偏不倚	0
捎来	不偏不倚	0
七宝	佛教	0
源源	倾注	0
丰沛	倾注	0
石英表	单历	0
小盘	单历	0
性传播	受孕	0
MO	名流	0
倍力乐	名流	0
杰士邦	名流	0
弯檐	哈帽	0
玛丽布	喷乳	0
鞋底	大底	0
硬水	头屑	0
调整型	女士内衣	0
女内衣	女士内衣	1
后调	尾调	0
夹杂着	尾调	0
橙花油	尾调	0
中调	尾调	1
皱纹	干纹	1
黑眼圈	干纹	0
疲倦	干纹	0
细纹	干纹	1
晦暗	干纹	0
幼纹	干纹	1
麻将	恭喜发财	0
爱上你	情不自禁	0
挂件	挂饰	0
古诗	故事书	0
图书	故事书	0
无毒	无味	0
黯淡	晦暗	0
干纹	晦暗	0
黯沉	晦暗	0
复仇者	汪汪	0
逐层	深透	0
水养	深透	0
丰沛	深透	0
润养	深透	0
直达	深透	0
坐在	玩玩	0
婴儿理发器	理发器	0
低噪音	理发器	0
剃头刀	理发器	0
